transcript,file_path
\frac{d}{dx}(y),data/mathwriting-2024/train/918ecee1572d08dd.inkml
\hat{a}_{i},data/mathwriting-2024/train/7d82fd8b55c6e449.inkml
\frac{\frac{\frac{10}{383}}{\sqrt{6}}}{185+191},data/mathwriting-2024/train/2d15249bf38715e0.inkml
f^{i^{c^{\cdot^{\cdot^{\cdot}}}}},data/mathwriting-2024/train/56790991984d0fd4.inkml
\prod_{p^{k}}f(p^{k}),data/mathwriting-2024/train/356254293fe17260.inkml
P\underline{\vee}Q,data/mathwriting-2024/train/c39562a304139d92.inkml
\int_{S}dS,data/mathwriting-2024/train/9207917e6018d93a.inkml
\tilde{f}(k),data/mathwriting-2024/train/7f328fe1ad9bc5bc.inkml
{19^{1}}^{\frac{272}{298}},data/mathwriting-2024/train/3fc13f675107d2cf.inkml
3/\tilde{4},data/mathwriting-2024/train/161006b3d45e9d7d.inkml
\frac{100-95}{95}=5.26\%,data/mathwriting-2024/train/3d390b750ee1050f.inkml
"\underline{a}_{1},...,\underline{a}_{r}\in\mathbb{R}^{n}",data/mathwriting-2024/train/9cd0cf6b718c33fd.inkml
\vec{e}_{3}=\frac{\omega}{2}\partial_{\phi}-\partial_{t},data/mathwriting-2024/train/d6fcd57aea1afd6b.inkml
\hat{M}^{\prime},data/mathwriting-2024/train/a8c79269b7d9cb48.inkml
I=\frac{\pi^{2}}{2}-\alpha\pi,data/mathwriting-2024/train/b0c16fabe7fca69c.inkml
\sigma_{+}^{2}=\sigma_{-}^{2}=\frac{1}{2}\sigma^{2},data/mathwriting-2024/train/6505bb674d92f98a.inkml
F(x)=\int ln(f(x))dx,data/mathwriting-2024/train/353b6762d232c45b.inkml
\hat{e},data/mathwriting-2024/train/5df90e8095c96025.inkml
p_{\omega}(x)=\omega(x^{*}x)^{1/2},data/mathwriting-2024/train/236d0f8ce8a5716d.inkml
D=\frac{2|E|}{|V|(|V|-1)},data/mathwriting-2024/train/b3029bad4fbdf633.inkml
c^{2}=1/\mu_{0}\epsilon_{0},data/mathwriting-2024/train/9b057cae82611617.inkml
\hat{h},data/mathwriting-2024/train/80d29b13c82b87c4.inkml
"y=ce^{\frac{1}{2}x^{2}},c\in\mathbb{R}",data/mathwriting-2024/train/3ff99de38ff0dbf5.inkml
(\frac{276+6}{1})^{450^{233}},data/mathwriting-2024/train/bab6064cc34f6f26.inkml
S=\frac{mu^{0}}{\sqrt{6-\frac{v^{0}}{u^{0}}}},data/mathwriting-2024/train/0aef2d8c87435f7e.inkml
(\frac{11}{8}\div\frac{48}{35}=\frac{385}{384}),data/mathwriting-2024/train/55722ac5ec0da644.inkml
\nabla f=g^{ik}\frac{\partial f}{\partial x^{k}}\frac{\partial}{\partial x^{i}},data/mathwriting-2024/train/986b403dbe4e7a78.inkml
\varsigma f^{\prime}=\frac{\varsigma f}{\sqrt{3-\frac{v^{0}}{c^{0}}}},data/mathwriting-2024/train/2eca88fcf3524e29.inkml
\int_{S}F\overline{G},data/mathwriting-2024/train/4085c846b3e88a12.inkml
Re=\frac{\rho uL}{\mu}=\frac{uL}{\nu},data/mathwriting-2024/train/48e4ce279319033a.inkml
D^{(t_{\gamma})},data/mathwriting-2024/train/1c007e930e6b306a.inkml
(\frac{9!}{8!\cdot(9!-8!)})^{9!},data/mathwriting-2024/train/c5977220aea32994.inkml
e^{15^{15^{15^{133}}}},data/mathwriting-2024/train/7093399228424d25.inkml
F_{n}^{+},data/mathwriting-2024/train/2f997b9c0818a080.inkml
\tilde{w},data/mathwriting-2024/train/e3a0332bbd7188fe.inkml
S<\prod_{i=1}^{k}m_{i},data/mathwriting-2024/train/c0f87420510d75fc.inkml
\frac{\Delta r}{i}=\frac{R^{\frac{2r_{l}}{i}}-1}{R^{\frac{2r_{l}}{i}}\cdot1},data/mathwriting-2024/train/1ce354a5bbd3297c.inkml
"[A,\overline{Q}]=\frac{1}{2}\overline{Q}",data/mathwriting-2024/train/617beca4c0e7a16d.inkml
aO_{n-1}b,data/mathwriting-2024/train/a3b315bacad5e0a2.inkml
\frac{dT}{dt}=0,data/mathwriting-2024/train/0abd133660f4f89b.inkml
\{\begin{matrix}3\\ 8\end{matrix}\},data/mathwriting-2024/train/b800575baacf5138.inkml
\sqrt{a^{2}+b^{2}}=c,data/mathwriting-2024/train/030e0cb56c3d3b38.inkml
\mu=\frac{m_{e}M}{m_{e}+M},data/mathwriting-2024/train/132cb8cc637ec64f.inkml
\omega=\frac{d\theta}{dt},data/mathwriting-2024/train/e2298946fd098cd5.inkml
\int_{-3}^{0}(3)dx,data/mathwriting-2024/train/124da7ddc314cf47.inkml
{X^{u}}^{5},data/mathwriting-2024/train/b6fb23f7ac502aa4.inkml
"(t,x)\rightarrow P_{t}f(x)",data/mathwriting-2024/train/0bd9816c012f4384.inkml
y^{2}=z^{-1}e^{-2x},data/mathwriting-2024/train/58464e6e5eae215a.inkml
\sum_{k=0}^{n}(\begin{matrix}n\\ k\end{matrix})^{2}=(\begin{matrix}2n\\ n\end{matrix}),data/mathwriting-2024/train/d35f28312467ed11.inkml
\nabla B_{z}=\frac{dB_{z}}{dA}\nabla A,data/mathwriting-2024/train/dec7624d35488278.inkml
[\begin{matrix}1&1\\ 0&1\end{matrix}],data/mathwriting-2024/train/782d9c5fd34b5df7.inkml
A\overline{B},data/mathwriting-2024/train/7b54c57e60ccbfa3.inkml
"a^{b}=b^{a},a\ne b",data/mathwriting-2024/train/0d282f9edfa6808f.inkml
\tilde{E}_{n},data/mathwriting-2024/train/54e2a08fbfcac0bd.inkml
\frac{dm}{dt},data/mathwriting-2024/train/b91cae4327b31718.inkml
"\underline{x}=(x_{1},...,x_{d})",data/mathwriting-2024/train/4652f8236189c235.inkml
\nabla u=\frac{\partial u}{\partial x}i+\frac{\partial u}{\partial y}j,data/mathwriting-2024/train/5cf6c37abf95651a.inkml
\int_{V}JdV=0,data/mathwriting-2024/train/5f54b2d21e983fdb.inkml
\overline{\frac{\partial(\overline{u_{i}}\cdot u_{i}^{\prime})}{\partial q_{i}}}=3,data/mathwriting-2024/train/da9d42da8d8fdd9e.inkml
\frac{\frac{2}{401}}{8-490},data/mathwriting-2024/train/b55bee6b62f1269e.inkml
(\begin{matrix}a&b\\ c&d\end{matrix}),data/mathwriting-2024/train/0c681f08e982d5db.inkml
X_{2},data/mathwriting-2024/train/6cd836bf6d70379c.inkml
\frac{2rcot\frac{\pi}{2n}}{n},data/mathwriting-2024/train/48b52aa6122810c0.inkml
\vec{r}=[\begin{matrix}1\\ 1\end{matrix}],data/mathwriting-2024/train/c28668629366d51c.inkml
v=\frac{\partial g}{\partial y},data/mathwriting-2024/train/6c3a801cc404f11d.inkml
u=(\frac{t}{2\pi})^{1/4},data/mathwriting-2024/train/d3a95a3e14787503.inkml
\hat{p},data/mathwriting-2024/train/24ba370fae6b9c19.inkml
\frac{\partial g}{\partial x},data/mathwriting-2024/train/e19363e0476cd4f0.inkml
\prod_{p|n}f(p),data/mathwriting-2024/train/a46c1d17f208098b.inkml
\hat{\mu},data/mathwriting-2024/train/a369dcde9299a4a7.inkml
"(0,+\infty)",data/mathwriting-2024/train/17c97f37429a2449.inkml
\tilde{\nu},data/mathwriting-2024/train/10a12ac9408f3563.inkml
\frac{B}{r+1},data/mathwriting-2024/train/37931e2003183d16.inkml
\sum_{n=1}^{10}8n,data/mathwriting-2024/train/85b91ce3121e2052.inkml
a_{i1}=\frac{P(x_{i})}{Q^{\prime}(x_{i})},data/mathwriting-2024/train/09b32da428324db4.inkml
\frac{db}{dt}=\frac{1}{3},data/mathwriting-2024/train/ff48d7dedae3b773.inkml
\int_{a}^{b}f(x)dg(x),data/mathwriting-2024/train/a76724f4df2ce0d9.inkml
\hat{w},data/mathwriting-2024/train/dc844038d7b353ae.inkml
A[t/x],data/mathwriting-2024/train/911d42e4c335b81b.inkml
\frac{(1+\sigma)^{r}|Df|}{\Xi},data/mathwriting-2024/train/3f35ff26fff6a998.inkml
s_{2}=8.37,data/mathwriting-2024/train/845c03647c2b008d.inkml
\int_{E}w(x)dx,data/mathwriting-2024/train/f577bd3e0e22d201.inkml
\hat{R},data/mathwriting-2024/train/948b3c7bb8fa451b.inkml
V(k)=\frac{4\pi Ze}{q^{2}+k^{2}},data/mathwriting-2024/train/a6cf6b0c49bc4f95.inkml
\frac{\partial T}{\partial q_{k}},data/mathwriting-2024/train/96c1373765fcea96.inkml
x=\frac{1}{625},data/mathwriting-2024/train/2ae20280220a572f.inkml
o^{\prime}=\frac{o-rq}{\sqrt{1-\frac{r^{2}}{b^{2}}}},data/mathwriting-2024/train/381aa368d93bf91c.inkml
\frac{(\frac{493}{8})^{470}}{\frac{31}{4}},data/mathwriting-2024/train/0dcfb89cf39560dd.inkml
\tilde{O}(E^{10/7}),data/mathwriting-2024/train/ac5949a5671a0d8c.inkml
x=v\sqrt{\frac{h}{2g}},data/mathwriting-2024/train/6849f8db74b15de8.inkml
\hat{m}=\frac{\vec{r}_{1}\times\vec{r}_{2}}{||\vec{r}_{1}\times\vec{r}_{2}||},data/mathwriting-2024/train/0d391c69c7ce55d4.inkml
S1=\sum_{j=1}^{k}n_{j}m_{j}s_{j},data/mathwriting-2024/train/59064ccda430a6af.inkml
p=\frac{m+u}{\sqrt{6-\frac{u^{2}}{c^{2}}}},data/mathwriting-2024/train/3c42d24357fb409b.inkml
E_{r}=\frac{s}{||s||},data/mathwriting-2024/train/1232ef5e28cd4a41.inkml
X:=\prod_{i\in I}X_{i},data/mathwriting-2024/train/50c89495e5135ccb.inkml
"s\in\{-\frac{1}{2},0,\frac{1}{2}\}",data/mathwriting-2024/train/78dc21887e24e4f8.inkml
\overline{OP_{i}},data/mathwriting-2024/train/550216d430e476ce.inkml
lnx=\int_{1}^{x}\frac{du}{u},data/mathwriting-2024/train/2f3b4d5b25ece5ae.inkml
\hat{\zeta}_{0}(\omega),data/mathwriting-2024/train/fe143c34a6bb0bb4.inkml
\ge\frac{1}{2},data/mathwriting-2024/train/2babcd0759849ec6.inkml
\pm EI\frac{d^{2}w}{dx^{2}}=M,data/mathwriting-2024/train/e5d401036e770fdc.inkml
"\frac{\partial f(M,T)}{\partial M}>0",data/mathwriting-2024/train/f8f9971e07917d4d.inkml
\{\begin{matrix}6\\ 6\end{matrix}\},data/mathwriting-2024/train/3cfc2bb67d4f5d37.inkml
\hat{T}=t_{1}...t_{m},data/mathwriting-2024/train/1db87abd1f7c4106.inkml
\frac{dB}{dz},data/mathwriting-2024/train/2155eaa73dcb1d86.inkml
-D_{1}\frac{\partial C_{1}}{\partial x},data/mathwriting-2024/train/8148c249238ed877.inkml
\sqrt{6}\times\sqrt{6},data/mathwriting-2024/train/daf7a9f79a6d281d.inkml
c_{R}=0.5c_{B}(d_{BL})^{0.5},data/mathwriting-2024/train/6bdb822d8cae8e64.inkml
C=\sum_{j=0}^{M}\sum_{i<j}C_{ij}/P,data/mathwriting-2024/train/ae0f22289e6282fe.inkml
\Phi=\frac{1}{\sqrt{1-\frac{s^{2}}{i^{2}}}},data/mathwriting-2024/train/e96fec689e663d7d.inkml
"X=(a_{1},...,a_{|X|})",data/mathwriting-2024/train/55c439e3ae3c9206.inkml
F:X\rightarrow X^{\prime},data/mathwriting-2024/train/28d1590059a9aefd.inkml
(\begin{matrix}1&1\\ 1&1\end{matrix}),data/mathwriting-2024/train/5b62d87dff6aac78.inkml
5^{\sqrt{189}}-381\cdot(\frac{197}{10})^{5},data/mathwriting-2024/train/8bc780ae99365271.inkml
tr\{\begin{matrix}5\\ 3\end{matrix}\},data/mathwriting-2024/train/e08237dcb2c3e819.inkml
K_{v}=F\sqrt{\frac{SG}{\Delta P}},data/mathwriting-2024/train/b811dfd75bbba81b.inkml
\frac{8\pi g}{\sqrt{9-\frac{2g}{rh^{2}}}},data/mathwriting-2024/train/cc6c5659565e11db.inkml
(\begin{matrix}1&-1\\ 1&-1\end{matrix}),data/mathwriting-2024/train/0014ab1a02dbc233.inkml
\int cos(x^{2})dx,data/mathwriting-2024/train/981a2dd1a55b337a.inkml
\hat{\gamma},data/mathwriting-2024/train/865f406126001144.inkml
-\int e^{u}cos(-u)dx,data/mathwriting-2024/train/672c1bad88998d19.inkml
2\sqrt{K},data/mathwriting-2024/train/a2cede75d645e82e.inkml
W=\frac{\mu}{2}(I_{1}-3),data/mathwriting-2024/train/e63a3d590845b883.inkml
P(L|S)\approx0.0214,data/mathwriting-2024/train/7c34e0474638a807.inkml
\frac{dz}{(z+a)^{3}z^{1/2}},data/mathwriting-2024/train/dbba7153f71b8388.inkml
v\notin N(T\backslash S),data/mathwriting-2024/train/34cd0367e4cf9ef4.inkml
\frac{z}{z-1},data/mathwriting-2024/train/00e16843dc83d7c2.inkml
\int cose^{x}dx,data/mathwriting-2024/train/57896e2e7a329f79.inkml
\mu\pm z_{\alpha/2}\frac{\sigma}{\sqrt{n}},data/mathwriting-2024/train/7d7c2040cd80e6f8.inkml
[\begin{matrix}3&4&5\\ 4&7\\ 6\end{matrix}],data/mathwriting-2024/train/9e0f98c895112b17.inkml
\frac{\Delta v}{c}=tanh[\frac{at}{c}],data/mathwriting-2024/train/b0bfd4b3b3a7587b.inkml
(\pm\sqrt{2})^{2}-4=-2<0,data/mathwriting-2024/train/70799db51051d3c5.inkml
EI\frac{d^{4}w(x)}{dx^{4}}=q(x),data/mathwriting-2024/train/89ae337fefb0a7f7.inkml
Q=\sqrt{\frac{{R_{3}}^{7}Y_{0}}{R_{7}R_{8}Y_{7}}},data/mathwriting-2024/train/65966915e62ffe4a.inkml
\tilde{\phi}(xU)=\phi(x),data/mathwriting-2024/train/53734ca8362a1ac9.inkml
A_{1}=\frac{P}{\sqrt{2}},data/mathwriting-2024/train/5397b6fcfdaa06fd.inkml
z^{X}=\prod_{x\in X}z_{x},data/mathwriting-2024/train/f0af730347385194.inkml
z=e^{j\Omega},data/mathwriting-2024/train/d134f7bedb8e0eb2.inkml
A:x\mapsto2\sqrt{x},data/mathwriting-2024/train/2e8edc8ece20b63d.inkml
\frac{a_{i}}{a_{j}},data/mathwriting-2024/train/4e40ef6762e53c24.inkml
sys(g)^{2}\le\frac{\pi}{2}area(g),data/mathwriting-2024/train/4836c1385f97b1d8.inkml
\mathbb{Q}:X\notin\mathbb{N},data/mathwriting-2024/train/0f8f6f0765ce1be7.inkml
T_{S}\sqrt{\frac{R_{S}}{D}},data/mathwriting-2024/train/db231c4a404c8bcd.inkml
"1/\sqrt{2}(\pm1,\pm1,0)",data/mathwriting-2024/train/2210b4bb553a410a.inkml
b<an+a,data/mathwriting-2024/train/fa53f9a54e72fe0d.inkml
\Gamma(O(1)),data/mathwriting-2024/train/e110b9dc1eed4dee.inkml
v_{c}=\frac{c_{t}\times v_{e}}{gr_{t}\times gr_{d}},data/mathwriting-2024/train/d97eb51bd42d1304.inkml
"sup\{1,2,3\}=3",data/mathwriting-2024/train/90563ee9dffc8881.inkml
C(R^{d}),data/mathwriting-2024/train/faab9e7e165f758a.inkml
G=\frac{mf^{2}}{\sqrt{1+\frac{s^{2}}{f^{2}}}},data/mathwriting-2024/train/bd0434d51224f476.inkml
\underline{x}^{-k},data/mathwriting-2024/train/fa89af54ef9c3d0d.inkml
\frac{9\times10^{n}}{nlog10},data/mathwriting-2024/train/437ebc5f0d898806.inkml
\tau_{MW}=\epsilon_{0}\frac{\epsilon_{1}+\epsilon_{2}}{\sigma_{1}+\sigma_{2}},data/mathwriting-2024/train/3e8e375ba4ae2ca0.inkml
\sigma(\tilde{\nu}),data/mathwriting-2024/train/da483485e46573c9.inkml
A_{\lambda}<0,data/mathwriting-2024/train/ce694963b76160ca.inkml
E(1+\alpha E)=\frac{\hbar^{2}k^{2}}{2m^{*}},data/mathwriting-2024/train/6a511e792b40840f.inkml
C_{m}=1+C_{a},data/mathwriting-2024/train/10e0ed88ce4d860f.inkml
\int_{\Omega}fw=0,data/mathwriting-2024/train/43908c4ac2e93493.inkml
\frac{dh(\alpha)}{d\alpha}=0,data/mathwriting-2024/train/b24a22aaf96a7aa6.inkml
G_{n}^{(2)},data/mathwriting-2024/train/cbb65b2c6dd6846c.inkml
lim_{n\rightarrow\infty}(1+\frac{x}{n})^{n}=e^{x},data/mathwriting-2024/train/83145ae93da8259e.inkml
\kappa^{2}=r^{-3}dl^{2}/dr,data/mathwriting-2024/train/06b9802ad3c1be6f.inkml
\hat{D}^{*},data/mathwriting-2024/train/b13291bd765a1dd6.inkml
"D^{2}(F\circ G)[h,k]",data/mathwriting-2024/train/0de978fe065dfcb1.inkml
0=\int_{\partial N}T^{\mu\nu}d^{3}s_{\nu},data/mathwriting-2024/train/faa4b3b16d9aebfc.inkml
E=\sqrt{\frac{2U(\phi_{0})}{\phi_{0}^{2}}}Q,data/mathwriting-2024/train/1bf41c5ca4af10a6.inkml
m=\prod p_{i}^{\alpha_{i}},data/mathwriting-2024/train/6859990f95414f13.inkml
\frac{1}{2}I\phi^{2},data/mathwriting-2024/train/1891a33cc39645dc.inkml
a_{(\nu_{7})},data/mathwriting-2024/train/5e764e6ba11dfdd1.inkml
N(t)=C2^{t/d},data/mathwriting-2024/train/996a1939694ae33c.inkml
\sigma_{t}=\frac{8\pi}{3}(\frac{\alpha\lambda_{c}}{2\pi})^{2},data/mathwriting-2024/train/0140aacf53f5b943.inkml
(\frac{2}{3})^{5}\times2^{3},data/mathwriting-2024/train/89af08fb2b949b62.inkml
\frac{dW}{dt},data/mathwriting-2024/train/914c179bb340646f.inkml
\frac{2asin\frac{\theta}{2}}{b(1-cos\frac{\theta}{2})}\approx\frac{8a}{b\theta},data/mathwriting-2024/train/5f5470014a5a6bfb.inkml
l_{(l_{\psi})},data/mathwriting-2024/train/504fcfd476290506.inkml
"\epsilon=\frac{T_{e,db}-T_{l,db}}{T_{e,db}-T_{e,wb}}",data/mathwriting-2024/train/6b8c30d6dea78fb6.inkml
\Omega=\rho+i\tilde{\rho}(\rho),data/mathwriting-2024/train/3fc45558b17aa70a.inkml
<24>5_{H}\overline{5}_{H},data/mathwriting-2024/train/96c4f9eb3c1cfba2.inkml
L=\frac{b^{2}}{a}=a-\frac{p^{2}}{4a},data/mathwriting-2024/train/15b945f1193170df.inkml
"L(s,\pi,r),L(s,\tilde{\pi},r)",data/mathwriting-2024/train/fa92e088cec8609a.inkml
"w=(\langle\overline{M}\rangle,10^{k})",data/mathwriting-2024/train/56b30a040d532584.inkml
f(x^{\prime\prime};s)<f(x^{\prime};s),data/mathwriting-2024/train/ebbea10d09c8a3f3.inkml
\eta_{PHC}=1-T_{R},data/mathwriting-2024/train/0c9189731ad05a4d.inkml
\iint_{S}FdS,data/mathwriting-2024/train/53656f4f1f44c9c3.inkml
Y|N=\sum_{n=1}^{N}X_{n},data/mathwriting-2024/train/2689c578a3be1ec9.inkml
"K_{b}(message,R)",data/mathwriting-2024/train/261cfcf5f9012f53.inkml
S_{m}=\frac{1}{2}E_{m}\times H_{m}^{*},data/mathwriting-2024/train/e44e45f2d0581fde.inkml
\frac{\partial\theta}{\partial z}<0,data/mathwriting-2024/train/b24e08033b56a464.inkml
\epsilon+2\pi i,data/mathwriting-2024/train/a7fcae0bf5ecbb4d.inkml
\int_{\gamma}\rho|dz|,data/mathwriting-2024/train/443eda42e9d2c1b3.inkml
\frac{1}{n}\rightarrow0,data/mathwriting-2024/train/ab19a00b9693ffce.inkml
\sum_{d|n}\varphi(d)=n,data/mathwriting-2024/train/989072a059b26584.inkml
\frac{4\zeta m}{\sqrt{1-\frac{0m}{vu^{0}}}},data/mathwriting-2024/train/5a62c3539f8f83bf.inkml
\frac{\partial V}{\partial p},data/mathwriting-2024/train/6092f61da3cb6b7b.inkml
||f-g||_{\infty},data/mathwriting-2024/train/e0a208bad1625d89.inkml
\tilde{K}_{\pm},data/mathwriting-2024/train/e4a3d8d65d0dc2fc.inkml
\frac{q^{\cdot\frac{(w\cdot t)^{2}}{4}}}{\sqrt{4\vartheta}},data/mathwriting-2024/train/2ff9cfcf247a0fe3.inkml
\Lambda^{(\delta_{m})},data/mathwriting-2024/train/884669339d57b568.inkml
V_{R}=V_{in}-V_{C},data/mathwriting-2024/train/ee9b03a0fecb70c8.inkml
|B||r|=\frac{m|v|}{qsin\theta},data/mathwriting-2024/train/b2ddc3c3fdfbf64c.inkml
P=\frac{1}{1+\eta}MC,data/mathwriting-2024/train/ddf725ab15760520.inkml
"\frac{\partial f(M,T)}{\partial M}>0",data/mathwriting-2024/train/1c14cb1f114eb041.inkml
D(\omega)=\frac{1}{1-j\omega\tau},data/mathwriting-2024/train/4b7e907ab61b94a5.inkml
ln\frac{P_{v}}{P_{sat}}=-\frac{2H\gamma V_{l}}{RT},data/mathwriting-2024/train/b97ecd402e4fbb6b.inkml
"I_{r,r-1}=[\begin{matrix}I\\ O\end{matrix}]",data/mathwriting-2024/train/77615cfb3d518457.inkml
